feature,coefficient,abs_coefficient
cat__purchase_dayofweek_Monday,0.013555448081538397,0.013555448081538397
cat__main_product_category_baby,0.013283331030528723,0.013283331030528723
cat__main_seller_state_SC,0.01290569597414447,0.01290569597414447
num__payment_count,0.00651337311249224,0.00651337311249224
cat__purchase_month_2017-02,0.005628802046225798,0.005628802046225798
cat__main_seller_state_MG,-0.004971694793207274,0.004971694793207274
cat__main_product_category_fashion_bags_accessories,-0.004348633871295488,0.004348633871295488
cat__purchase_month_2017-05,-0.0030137829350950847,0.0030137829350950847
num__product_category_count,0.002788785539669093,0.002788785539669093
num__payment_type_count,-0.002438117245014586,0.002438117245014586
cat__main_product_category_perfumery,-0.0009649744468524663,0.0009649744468524663
cat__purchase_month_2017-12,-0.0008668303758797255,0.0008668303758797255
cat__primary_payment_type_voucher,-0.0002471467920940201,0.0002471467920940201
