feature,coefficient,absolute_coefficient
cat__main_product_category_home_construction,0.20861928043784353,0.20861928043784353
cat__main_product_category_home_appliances_2,0.19975080743042462,0.19975080743042462
cat__main_product_category_bed_bath_table,0.19892378524661777,0.19892378524661777
cat__customer_state_RO,-0.19175744477162243,0.19175744477162243
cat__main_product_category_sports_leisure,-0.1897309551251062,0.1897309551251062
cat__main_product_category_consoles_games,-0.18355422810335031,0.18355422810335031
cat__purchase_month_2017-09,-0.17896298511934575,0.17896298511934575
cat__customer_state_PI,-0.17837457584120991,0.17837457584120991
cat__purchase_month_2017-12,0.17417413219741462,0.17417413219741462
cat__customer_state_MS,-0.17249292235299393,0.17249292235299393
cat__customer_state_MG,-0.1699814091282691,0.1699814091282691
cat__main_product_category_fashion_shoes,-0.16914763793405552,0.16914763793405552
cat__customer_state_PE,0.16905819084652968,0.16905819084652968
cat__primary_payment_type_credit_card,-0.1641860214815045,0.1641860214815045
cat__main_seller_state_BA,-0.1575220135754782,0.1575220135754782
cat__main_seller_state_infrequent_sklearn,0.15670816970047055,0.15670816970047055
cat__main_product_category_cool_stuff,-0.14449338886042928,0.14449338886042928
cat__main_product_category_computers_accessories,0.12994844321923096,0.12994844321923096
cat__main_product_category_auto,0.12157315199404807,0.12157315199404807
cat__primary_payment_type_debit_card,0.12115619425788995,0.12115619425788995
cat__main_seller_state_GO,-0.11847416425863132,0.11847416425863132
cat__customer_state_RS,-0.11357116067124745,0.11357116067124745
num__seller_count,0.11200304021925468,0.11200304021925468
cat__purchase_month_2017-04,0.10325105091347254,0.10325105091347254
cat__purchase_month_2017-06,-0.10169537429494317,0.10169537429494317
cat__main_product_category_fashion_underwear_beach,0.10056246155853167,0.10056246155853167
cat__main_product_category_electronics,0.10048863945068202,0.10048863945068202
cat__purchase_month_2017-10,-0.09814192751222013,0.09814192751222013
cat__main_product_category_telephony,0.09731952559824049,0.09731952559824049
cat__primary_payment_type_boleto,-0.08885926542339104,0.08885926542339104
cat__main_product_category_construction_tools_construction,-0.08869321629023151,0.08869321629023151
num__seller_prior_order_value_mean,-0.08710176732737976,0.08710176732737976
cat__customer_state_SP,-0.08697007372688628,0.08697007372688628
cat__main_product_category_fixed_telephony,0.08472452621779669,0.08472452621779669
cat__purchase_dayofweek_Sunday,-0.07560219598402036,0.07560219598402036
cat__customer_state_PA,0.07549301083298764,0.07549301083298764
cat__main_product_category_home_appliances,0.07530520394236563,0.07530520394236563
