main_product_category,customer_state,orders,delivered_orders,reviewed_orders,low_review_orders,late_orders,gross_payment_volume,segment_family,segment,low_review_rate,late_rate,share_of_low_reviews,share_of_orders,expected_low_reviews_at_average,excess_low_reviews,priority_score,route_type,main_seller_state,delivery_delay_bucket
baby,,1844,1801,1829,312,187,331424.14,category_route,baby / cross_state,0.17058501913613996,0.10383120488617435,0.021468382302346385,0.01854365905411249,269.3832862079799,42.61671379202011,15.545192295163561,cross_state,,
toys,,2477,2429,2457,334,211,390755.67,category_route,toys / cross_state,0.13593813593813595,0.08686702346644709,0.022982178490332347,0.02490924266650577,361.8779301328631,-27.877930132863128,15.352470986580963,cross_state,,
cool_stuff,,2497,2445,2474,333,184,528922.44,category_route,cool_stuff / cross_state,0.13459983831851252,0.0752556237218814,0.022913369572696622,0.02511036695125753,364.3817660352883,-31.381766035288308,15.286478165988933,cross_state,,
sports_leisure,SP,3283,3203,3263,351,184,440633.93,category_state,sports_leisure / SP,0.10756972111553785,0.05744614423977521,0.024151930090139682,0.03301455134200179,480.5892088007864,-129.58920880078642,14.951789926853044,,,
electronics,,1748,1726,1734,279,201,152646.92,category_route,electronics / cross_state,0.16089965397923875,0.11645422943221322,0.01919768802036744,0.01757826248730403,255.3912620473686,23.6087379526314,14.245785881270114,cross_state,,
housewares,SP,2756,2695,2737,306,164,330935.38,category_state,housewares / SP,0.11180124223602485,0.06085343228200371,0.021055528796532032,0.027714926438792854,403.1175802904543,-97.11758029045433,13.809777944468994,,,
furniture_decor,,2236,2200,2222,284,139,275709.42,category_route,furniture_decor / same_state,0.1278127812781278,0.06318181818181819,0.019541732608546067,0.02248569503524703,327.26608089345615,-43.26608089345615,13.60281952622803,same_state,,
health_beauty,,3176,3098,3150,312,209,398266.23,category_route,health_beauty / same_state,0.09904761904761905,0.06746287927695287,0.021468382302346385,0.03193853641857986,463.9460642729014,-151.94606427290142,13.569822267253272,same_state,,
watches_gifts,SP,2130,2085,2120,279,121,463598.09,category_state,watches_gifts / SP,0.13160377358490566,0.05803357314148681,0.01919768802036744,0.02141973632606269,312.24306547890507,-33.243065478905066,13.543155383929639,,,
perfumery,,2009,1966,2001,268,173,312772.4,category_route,perfumery / cross_state,0.13393303348325838,0.08799593082400814,0.01844078992637446,0.02020293440331453,294.7162141619288,-26.716214161928804,13.250690085410708,cross_state,,
computers_accessories,,1810,1756,1799,259,101,228250.13,category_route,computers_accessories / same_state,0.14396887159533073,0.057517084282460135,0.01782150966765293,0.018201747770034492,264.9647522625237,-5.964752262523689,13.198737977147216,same_state,,
sports_leisure,,2639,2567,2620,276,154,345925.51,category_route,sports_leisure / same_state,0.10534351145038168,0.05999220880405142,0.01899126126746026,0.026538349372995044,385.8852979031751,-109.88529790317511,12.723668050456926,same_state,,
watches_gifts,,1930,1889,1919,253,114,414048.97000000003,category_route,watches_gifts / same_state,0.13183949973944764,0.06034939121228163,0.017408656161838575,0.019408493478545067,282.6388880443485,-29.638888044348505,12.715798231109849,same_state,,
housewares,,2346,2292,2329,263,147,261144.95,category_route,housewares / same_state,0.11292400171747531,0.06413612565445026,0.01809674533819583,0.023591878601381722,343.02551863224994,-80.02551863224994,12.546983380268543,same_state,,
